ip_address,name,status,current_role,current_app,current_env,current_loc,suggested_role,suggested_app,suggested_env,suggested_loc,reason
172.16.1.108,BOSPROJSECURE,Existing Workload - Match,,,BCBS,Chicago,R-Sophos,A-SecurityManagement,,,172.16.1.108 is the provider on traffic over port 8194. Required and optional non-ranges flow count is 257131. 
172.16.1.4,bosad3,Existing Workload - Match,,,Production,Boston,R-DomainController,A-ActiveDirectory,,,172.16.1.4 is the provider on traffic over ports 389 88 135 445 49152-65535. Required and optional non-ranges flow count is 21548. 
172.16.1.41,bosad2,Existing Workload - Match,,,Production,Boston,R-DomainController,A-ActiveDirectory,,,172.16.1.41 is the provider on traffic over ports 389 88 135 445 49152-65535. Required and optional non-ranges flow count is 34578. 
172.16.1.117,BOSARCHIVES,Existing Workload - Match,,,BCBS,Chicago,R-Database,,,,172.16.1.117 is the provider on traffic over port 1434. Required and optional non-ranges flow count is 1055010. 
172.16.1.159,bosnagios,Existing Workload - Match,,,Production,Boston,R-NSClient++,A-ServerManagement,,,Identfiied by following processes: nsclient++.exe
172.16.1.147,bosad1,Existing Workload - Match,,,Production,Boston,R-DomainController,A-ActiveDirectory,,,172.16.1.147 is the provider on traffic over ports 389 88 135 138 445 49152-65535. Required and optional non-ranges flow count is 28677. 
172.16.2.241,varoniscltr2,Existing Workload - Match,,,Production,Boston,R-Varonis,A-SecurityManagement,,,Identfiied by following processes: VrnsCifsQueue.exe
172.16.2.240,varoniscltr1,Existing Workload - Match,,,Production,Boston,R-Varonis,A-SecurityManagement,,,Identfiied by following processes: VrnsCifsQueue.exe
172.16.1.88,BOSDATA,Existing Workload - Match,,,Production,Boston,R-Sophos,A-SecurityManagement,,,172.16.1.88 is the provider on traffic over port 8194. Required and optional non-ranges flow count is 3379. 
172.16.1.56,vcrasophos,Existing Workload - Match,,,Production,Boston,R-Sophos,A-SecurityManagement,,,172.16.1.56 is the provider on traffic over ports 8192 8194. Required and optional non-ranges flow count is 4401. 
172.16.1.70,BOSDATA1,Existing Workload - Match,,,Production,Boston,R-Sophos,A-SecurityManagement,,,172.16.1.70 is the provider on traffic over port 8194. Required and optional non-ranges flow count is 2886. 
172.16.1.171,BOSSTATA01,Existing Workload - Match,,,Production,Boston,R-Sophos,A-SecurityManagement,,,172.16.1.171 is the provider on traffic over port 8194. Required and optional non-ranges flow count is 447. 
172.16.2.244,crasrvwsus,Existing Workload - Match,,,Production,Boston,R-WindowsUpdate,A-ServerManagement,,,172.16.2.244 is the provider on traffic over port 8530. Required and optional non-ranges flow count is 1374. 
192.168.10.10,192.168.10.10 - LDAP,Potential UMWL - Match,,,,,R-LDAP,A-ActiveDirectory,,,192.168.10.10 is the provider on traffic over port 389. Required and optional non-ranges flow count is 28. 
