hostname,ips,os_type
192.168.10.10 - LDAP,192.168.10.10,
10.4.10.30 - LDAP,10.4.10.30,
192.168.2.24 - LDAP,192.168.2.24,
192.168.2.23 - LDAP,192.168.2.23,
172.16.1.235 - LDAP,172.16.1.235,
192.168.7.15 - LDAP,192.168.7.15,
192.168.27.8 - LDAP,192.168.27.8,
192.168.24.20 - LDAP,192.168.24.20,
192.168.201.30 - iSCSI,192.168.201.30,
192.168.201.12 - iSCSI,192.168.201.12,
192.168.201.46 - iSCSI,192.168.201.46,
192.168.201.20 - iSCSI,192.168.201.20,
192.168.201.47 - iSCSI,192.168.201.47,
192.168.201.45 - iSCSI,192.168.201.45,
192.168.5.2 - LDAP,192.168.5.2,
192.168.201.11 - iSCSI,192.168.201.11,
192.168.201.48 - iSCSI,192.168.201.48,
192.168.201.13 - iSCSI,192.168.201.13,
192.168.201.14 - iSCSI,192.168.201.14,
192.168.201.40 - iSCSI,192.168.201.40,
192.168.17.21 - LDAP,192.168.17.21,
