role,app,env,loc,ips
R-Sophos,A-SecurityManagement,,,172.16.1.108
R-DomainController,A-ActiveDirectory,,,172.16.1.4
R-DomainController,A-ActiveDirectory,,,172.16.1.41
R-Database,,,,172.16.1.117
R-NSClient++,A-ServerManagement,,,172.16.1.159
R-DomainController,A-ActiveDirectory,,,172.16.1.147
R-Varonis,A-SecurityManagement,,,172.16.2.241
R-Varonis,A-SecurityManagement,,,172.16.2.240
R-Sophos,A-SecurityManagement,,,172.16.1.88
R-Sophos,A-SecurityManagement,,,172.16.1.56
R-Sophos,A-SecurityManagement,,,172.16.1.70
R-Sophos,A-SecurityManagement,,,172.16.1.171
R-WindowsUpdate,A-ServerManagement,,,172.16.2.244
R-LDAP,A-ActiveDirectory,,,192.168.10.10
R-LDAP,A-ActiveDirectory,,,10.4.10.30
R-LDAP,A-ActiveDirectory,,,192.168.2.24
R-LDAP,A-ActiveDirectory,,,192.168.2.23
R-LDAP,A-ActiveDirectory,,,172.16.1.235
R-LDAP,A-ActiveDirectory,,,192.168.7.15
R-LDAP,A-ActiveDirectory,,,192.168.27.8
R-LDAP,A-ActiveDirectory,,,192.168.24.20
R-iSCSI,A-Storage,,,192.168.201.30
R-iSCSI,A-Storage,,,192.168.201.12
R-iSCSI,A-Storage,,,192.168.201.46
R-iSCSI,A-Storage,,,192.168.201.20
R-iSCSI,A-Storage,,,192.168.201.47
R-iSCSI,A-Storage,,,192.168.201.45
R-LDAP,A-ActiveDirectory,,,192.168.5.2
R-iSCSI,A-Storage,,,192.168.201.11
R-iSCSI,A-Storage,,,192.168.201.48
R-iSCSI,A-Storage,,,192.168.201.13
R-iSCSI,A-Storage,,,192.168.201.14
R-iSCSI,A-Storage,,,192.168.201.40
R-LDAP,A-ActiveDirectory,,,192.168.17.21
