name,provider,required_ports,optional_ports,num_optional_ports_required,processes,processes_required,role,app,env,loc
scanner,0,,1-101 102-202 203-303 304-404 405-505 506-606 607-707 708-908 909-1109 1110-1310 1311-1511 1512-1712 1713-1913 1914-2114 2115-2315 2316-2516 2517-2717 2718-2918 2919-3119 3120-3320 3321-3521 3522-3722 3723-3923 3924-4424 4425-4925 4926-5426 5427-5927 5928-6428 6429-7429 7430-8430 8431-9431 9432-14432 14433-19433 19434-24434 24435-34435 34436-65535,20,,,Scanner,Security Management,,
domain controller,1,,88 135 137 138 139 389 445 464 636 500 3669 4500 9389 49152-65535,5,,,Domain Controller,Active Directory,,
DNS,1,,53,1,,,DNS,Infrastructure,,
EMC Networker,1,,7938,1,,,EMC Networker,Infrastructure,,
iSCSI,1,,3260,1,,,iSCSI,Storage,,
Kaspersky,1,,13000 13001 14000 14001,1,,,Kaspersky,Security Management,,
LDAP,1,,389,1,,,LDAP,Active Directory,,
Mcafee,0,,8081,1,macmnsvc.exe,0,Mcafee,Security Management,,
memcache,1,,11211,1,,,memcache,,,
mesos-master,1,,5050,1,,,mesos-master,Server Management,,
microsoft global catalog server,1,,3268 3269,1,,,microsoft global catalog server,Active Directory,,
mongodb,1,,27017 27018 27019 28017,1,,,Database,,,
mysql,1,,1186 3306 33060,1,,,Database,,,
nagios,1,,5666,1,,,nagios,Server Management,,
Nessus,1,,1241,1,,,Nessus,Security Management,,
netbackup,1,,1556 13724 13782 13722 10102 10082,1,,,netbackup,,,
NFS,1,,2049,1,,,NFS,,,
NSClient++,1,,1248,1,nsclient++.exe ,1,NSClient++,Server Management,,
NTP,1,,123,1,,,NTP,Infrastructure,,
Oracle,1,,1521,1,,,Database,,,
postgresql,1,,5432,1,,,Database,,,
Powerbroker,1,,24345 24346 24347 24350,1,,,,,,
RabbitMq,1,,5671 5672,1,,,RabbitMq,CoreServices,,
Radius,1,,1813 1812 1645 1646,1,,,Radius,CoreServices,,
Saltstack,1,,4505 4506,1,,,Saltstack,CoreServices,,
SAP Hana,1,,30013 30015,1,,,SAP Hana,CoreServices,,
SCOM,1,,1270 5723 5724 51909,1,,,SCOM,CoreServices,,
SMTP,1,,25 110,1,,,SMTP,CoreServices,,
SNMP,1,,161 162,1,,,SNMP,CoreServices,,
Sophos,1,,8192 8194,1,,,Sophos,Security Management,,
Splunk,1,,8000 8089 9997 9998,1,,,Splunk,CoreServices,,
SQL Server,1,,1434 1433,1,,,SQL Server,,,
symantec scep,1,,2967 2968 8014,1,,,symantec scep,Security Management,,
syslog,1,,514,1,,,syslog,Infrastructure,,
Tacas,1,,49,1,,,Tacas,,,
Tanium,1,,17440 17472 17443 17444,1,,,EDR,Security Management,,
Teradata,1,,1025,1,,,Teradata,,,
Trendmicro,1,,4120,1,,,Trendmicro,,,
varonis,0,,4972,1,VrnsCifsQueue.exe ,1,Varonis,Security Management,,
Windows Update Server,1,,8531 8530,1,,,Windows Update Server,Server Management,,
zabbix,1,,10050 10051,1,,,zabbix,CoreServices,,
